date	close
2012-01-01	0
2012-01-08	0
2012-01-15	0
2012-01-22	0
2012-01-29	0
2012-02-05	0
2012-02-12	0
2012-02-19	0
2012-02-26	0
2012-03-04	0
2012-03-11	0
2012-03-18	0
2012-03-25	0
2012-04-01	0
2012-04-08	0
2012-04-15	0
2012-04-22	0
2012-04-29	0
2012-05-06	0
2012-05-13	0
2012-05-20	0
2012-05-27	0
2012-06-03	0
2012-06-10	0
2012-06-17	0
2012-06-24	0
2012-07-01	0
2012-07-08	0
2012-07-15	0
2012-07-22	0
2012-07-29	0
2012-08-05	0
2012-08-12	0
2012-08-19	0
2012-08-26	0
2012-09-02	0
2012-09-09	0
2012-09-16	0
2012-09-23	0
2012-09-30	0
2012-10-07	0
2012-10-14	0
2012-10-21	0
2012-10-28	0
2012-11-04	0
2012-11-11	0
2012-11-18	0
2012-11-25	0
2012-12-02	0
2012-12-09	0
2012-12-16	0
2012-12-23	0
2012-12-30	0
2013-01-06	0
2013-01-13	0
2013-01-20	0
2013-01-27	0
2013-02-03	3
2013-02-10	4
2013-02-17	0
2013-02-24	0
2013-03-03	88
2013-03-10	128
2013-03-17	185
2013-03-24	112
2013-03-31	225
2013-04-07	183
2013-04-14	155
2013-04-21	121
2013-04-28	127
2013-05-05	173
2013-05-12	247
2013-05-19	202
2013-05-26	83
2013-06-02	104
2013-06-09	59
2013-06-16	34
2013-06-23	32
2013-06-30	33
2013-07-07	41
2013-07-14	32
2013-07-21	40
2013-07-28	64
2013-08-04	51
2013-08-11	139
2013-08-18	142
2013-08-25	163
2013-09-01	145
2013-09-08	162
2013-09-15	260
2013-09-22	154
2013-09-29	333
2013-10-06	529
2013-10-13	141
2013-10-20	306
2013-10-27	190
2013-11-03	145
2013-11-10	178
2013-11-17	162
2013-11-24	101
2013-12-01	144
2013-12-08	145
2013-12-15	145
2013-12-22	60
2013-12-29	74
2014-01-05	154
2014-01-12	225
2014-01-19	139
2014-01-26	167
2014-02-02	120
2014-02-09	151
2014-02-16	145
2014-02-23	161
2014-03-02	223
2014-03-09	195
2014-03-16	103
2014-03-23	211
2014-03-30	172
2014-04-06	153
2014-04-13	145
2014-04-20	244
2014-04-27	193
2014-05-04	104
2014-05-11	141
2014-05-18	127
2014-05-25	92
2014-06-01	61
2014-06-08	44
2014-06-15	57
2014-06-22	35
2014-06-29	45
2014-07-06	49
2014-07-13	50
2014-07-20	72
2014-07-27	70
2014-08-03	65
2014-08-10	175
2014-08-17	137
2014-08-24	133
2014-08-31	136
2014-09-07	131
2014-09-14	189
2014-09-21	162
2014-09-28	285
2014-10-05	267
2014-10-12	187
2014-10-19	170
2014-10-26	205
2014-11-02	178
2014-11-09	172
2014-11-16	299
2014-11-23	133
2014-11-30	167
2014-12-07	234
2014-12-14	222
2014-12-21	112
2014-12-28	55
